cd_uid,community,source_noc,source_teer,source_label,teer_category,candidate_noc,candidate_teer,candidate_label,pick_source,rationale
4701,Estevan,84101,4,Oil and gas well drilling and related workers and service operators,comparable,94110,4,Chemical plant machine operators,author,
4701,Estevan,84101,4,Oil and gas well drilling and related workers and service operators,comparable,74200,4,Railway yard and track maintenance workers,user,Railway yard and track maintenance — CP line present
4701,Estevan,84101,4,Oil and gas well drilling and related workers and service operators,comparable,94100,4,"Machine operators, mineral and metal processing",user,Machine operators mineral/metal — skills transfer from O&G machine operation to other industrial processing
4701,Estevan,85111,5,"Oil and gas drilling, servicing and related labourers",extensive,73200,3,Residential and commercial installers and servicers,author,
4701,Estevan,85111,5,"Oil and gas drilling, servicing and related labourers",extensive,74205,4,Public works maintenance equipment operators and related workers,author,
4701,Estevan,85111,5,"Oil and gas drilling, servicing and related labourers",comparable,75110,5,Construction trades helpers and labourers,author,
4701,Estevan,85111,5,"Oil and gas drilling, servicing and related labourers",comparable,95102,5,Labourers in chemical products processing and utilities,author,
4816,Wood Buffalo,73300,3,Transport truck drivers,extensive,22114,2,Landscape and horticulture technicians and specialists,author,
4816,Wood Buffalo,73300,3,Transport truck drivers,comparable,73301,3,"Bus drivers, subway operators and other transit operators",author,
4816,Wood Buffalo,73300,3,Transport truck drivers,extensive,73311,3,Railway conductors and brakemen/women,author,
4816,Wood Buffalo,73400,3,Heavy equipment operators,extensive,72106,2,Welders and related machine operators,author,
4816,Wood Buffalo,73400,3,Heavy equipment operators,extensive,72406,2,Elevator constructors and mechanics,author,
4816,Wood Buffalo,73400,3,Heavy equipment operators,extensive,72500,2,Crane operators,author,
4816,Wood Buffalo,73400,3,Heavy equipment operators,comparable,73100,3,Concrete finishers,author,
4816,Wood Buffalo,74203,4,Automotive and heavy truck and equipment parts installers and servicers,extensive,72400,2,Construction millwrights and industrial mechanics,author,
4816,Wood Buffalo,74203,4,Automotive and heavy truck and equipment parts installers and servicers,comparable,74204,4,Utility maintenance workers,author,
4816,Wood Buffalo,74203,4,Automotive and heavy truck and equipment parts installers and servicers,comparable,94111,4,Plastics processing machine operators,author,
4816,Wood Buffalo,75101,5,Material handlers,comparable,75211,5,Railway and motor transport labourers,author,
4816,Wood Buffalo,75101,5,Material handlers,extensive,94103,4,"Concrete, clay and stone forming operators",author,
4816,Wood Buffalo,84101,4,Oil and gas well drilling and related workers and service operators,extensive,72405,2,Machine fitters,author,
4816,Wood Buffalo,84101,4,Oil and gas well drilling and related workers and service operators,comparable,94110,4,Chemical plant machine operators,author,
4816,Wood Buffalo,85111,5,"Oil and gas drilling, servicing and related labourers",comparable,75119,5,Other trades helpers and labourers,author,
4816,Wood Buffalo,85111,5,"Oil and gas drilling, servicing and related labourers",comparable,95102,5,Labourers in chemical products processing and utilities,author,
PR61,Northwest Territories,73300,3,Transport truck drivers,extensive,22114,2,Landscape and horticulture technicians and specialists,author,
PR61,Northwest Territories,73300,3,Transport truck drivers,comparable,73301,3,"Bus drivers, subway operators and other transit operators",author,
PR61,Northwest Territories,73300,3,Transport truck drivers,extensive,73311,3,Railway conductors and brakemen/women,author,
PR61,Northwest Territories,73300,3,Transport truck drivers,comparable,74200,4,Railway yard and track maintenance workers,author,
PR61,Northwest Territories,73400,3,Heavy equipment operators,extensive,72106,2,Welders and related machine operators,author,
PR61,Northwest Territories,73400,3,Heavy equipment operators,extensive,72406,2,Elevator constructors and mechanics,author,
PR61,Northwest Territories,73400,3,Heavy equipment operators,extensive,72500,2,Crane operators,author,
PR61,Northwest Territories,73400,3,Heavy equipment operators,comparable,73402,3,"Drillers - surface mining, quarrying and construction",author,
PR61,Northwest Territories,73400,3,Heavy equipment operators,comparable,83100,3,Underground production and development miners,author,
PR61,Northwest Territories,75101,5,Material handlers,extensive,73102,3,"Plasterers, drywall installers and finishers and lathers",author,
PR61,Northwest Territories,75101,5,Material handlers,extensive,74200,4,Railway yard and track maintenance workers,author,
PR61,Northwest Territories,75101,5,Material handlers,comparable,75110,5,Construction trades helpers and labourers,author,
PR61,Northwest Territories,75101,5,Material handlers,comparable,75211,5,Railway and motor transport labourers,author,
