noc_title,noc_2021,aioe,caioe,groupmean,Exposure,Comp,Quadrant
Managers in natural resources production and fishing,80010,6.382130059,4.324840004,0.671481481,High exposure,High complementarity,HE-HC
Managers in agriculture,80020,5.843659754,3.933999933,0.672407407,Low exposure,High complementarity,LE-HC
Managers in horticulture,80021,5.983559372,3.704820511,0.729166667,High exposure,High complementarity,HE-HC
Managers in aquaculture,80022,5.983559372,3.704820511,0.729166667,High exposure,High complementarity,HE-HC
"Supervisors, logging and forestry",82010,5.749772652,3.77887836,0.691111111,Low exposure,High complementarity,LE-HC
"Supervisors, mining and quarrying",82020,5.887740735,3.321667065,0.784166667,Low exposure,High complementarity,LE-HC
"Contractors and supervisors, oil and gas drilling and services",82021,5.887740735,3.321667065,0.784166667,Low exposure,High complementarity,LE-HC
Agricultural service contractors and farm supervisors,82030,5.725967492,3.944487767,0.658287037,Low exposure,High complementarity,LE-HC
"Contractors and supervisors, landscaping, grounds maintenance and horticulture services",82031,5.923792036,3.836263583,0.700833333,Low exposure,High complementarity,LE-HC
Underground production and development miners,83100,5.534404387,3.962931627,0.630381944,Low exposure,High complementarity,LE-HC
"Oil and gas well drillers, servicers, testers and related workers",83101,5.596483606,3.491583938,0.724444444,Low exposure,High complementarity,LE-HC
Logging machinery operators,83110,5.582156099,4.306013191,0.576944444,Low exposure,Low complementarity,LE-LC
Fishing masters and officers,83120,5.398795864,4.320536357,0.548055556,Low exposure,Low complementarity,LE-LC
Fishermen/women,83121,5.398795864,4.320536357,0.548055556,Low exposure,Low complementarity,LE-LC
Underground mine service and support workers,84100,5.338995079,3.428821284,0.706111111,Low exposure,High complementarity,LE-HC
Oil and gas well drilling and related workers and services operators,84101,5.53876126,3.89835675,0.644722222,Low exposure,High complementarity,LE-HC
Chain saw and skidder operators,84110,5.225291325,4.143946315,0.555277778,Low exposure,Low complementarity,LE-LC
Silviculture and forestry workers,84111,5.48984448,3.725469462,0.669722222,Low exposure,High complementarity,LE-HC
Specialized livestock workers and farm machinery operators,84120,5.604689177,3.944633015,0.641388889,Low exposure,High complementarity,LE-HC
Fishing vessel deckhands,84121,5.398795864,4.320536357,0.548055556,Low exposure,Low complementarity,LE-LC
Livestock labourers,85100,5.604689177,3.944633015,0.641388889,Low exposure,High complementarity,LE-HC
Harvesting labourers,85101,5.241046781,4.292673692,0.527685185,Low exposure,Low complementarity,LE-LC
Aquaculture and marine harvest labourers,85102,5.534948564,4.226548223,0.584722222,Low exposure,Low complementarity,LE-LC
Nursery and greenhouse labourers,85103,5.09409589,4.325736426,0.499166667,Low exposure,Low complementarity,LE-LC
Trappers and hunters,85104,5.398795864,4.320536357,0.548055556,Low exposure,Low complementarity,LE-LC
Mine labourers,85110,5.338995079,3.428821284,0.706111111,Low exposure,High complementarity,LE-HC
"Oil and gas drilling, servicing and related labourers",85111,5.35098494,3.607093832,0.674305556,Low exposure,High complementarity,LE-HC
Landscaping and grounds maintenance labourers,85121,5.368045042,3.999847951,0.602777778,Low exposure,Low complementarity,LE-LC
Manufacturing managers,90010,6.375571544,4.098237082,0.705972222,High exposure,High complementarity,HE-HC
Utilities managers,90011,6.277054881,3.821770723,0.739880952,High exposure,High complementarity,HE-HC
"Supervisors, mineral and metal processing",92010,5.979663209,3.848577682,0.704722222,High exposure,High complementarity,HE-HC
"Supervisors, petroleum, gas and chemical processing and utilities",92011,5.979663209,3.848577682,0.704722222,High exposure,High complementarity,HE-HC
"Supervisors, food and beverage processing",92012,5.979663209,3.848577682,0.704722222,High exposure,High complementarity,HE-HC
"Supervisors, plastic and rubber products manufacturing",92013,5.979663209,3.848577682,0.704722222,High exposure,High complementarity,HE-HC
"Supervisors, forest products processing",92014,5.979663209,3.848577682,0.704722222,High exposure,High complementarity,HE-HC
"Supervisors, textile, fabric, fur and leather products processing and manufacturing",92015,5.979663209,3.848577682,0.704722222,High exposure,High complementarity,HE-HC
"Supervisors, motor vehicle assembling",92020,5.979663209,3.848577682,0.704722222,High exposure,High complementarity,HE-HC
"Supervisors, electronics and electrical products manufacturing",92021,5.979663209,3.848577682,0.704722222,High exposure,High complementarity,HE-HC
"Supervisors, furniture and fixtures manufacturing",92022,5.979663209,3.848577682,0.704722222,High exposure,High complementarity,HE-HC
"Supervisors, other mechanical and metal products manufacturing",92023,5.979663209,3.848577682,0.704722222,High exposure,High complementarity,HE-HC
"Supervisors, other products manufacturing and assembly",92024,5.979663209,3.848577682,0.704722222,High exposure,High complementarity,HE-HC
Power engineers and power systems operators,92100,5.734984432,4.36120416,0.585902778,Low exposure,Low complementarity,LE-LC
Water and waste treatment plant operators,92101,5.833989062,4.041657978,0.655555556,Low exposure,High complementarity,LE-HC
"Central control and process operators, mineral and metal processing",93100,5.508338791,4.510717432,0.529444444,Low exposure,Low complementarity,LE-LC
"Central control and process operators, petroleum, gas and chemical processing",93101,5.759065824,4.192607113,0.620092593,Low exposure,High complementarity,LE-HC
"Pulping, papermaking and coating control operators",93102,5.59075983,4.595095461,0.526203704,Low exposure,Low complementarity,LE-LC
Aircraft assemblers and aircraft assembly inspectors,93200,5.669981092,4.186222738,0.611203704,Low exposure,Low complementarity,LE-LC
"Machine operators, mineral and metal processing",94100,5.508338791,4.510717432,0.529444444,Low exposure,Low complementarity,LE-LC
Foundry workers,94101,5.367004469,4.439165294,0.521944444,Low exposure,Low complementarity,LE-LC
Glass forming and finishing machine operators and glass cutters,94102,5.535717023,4.721337135,0.495222222,Low exposure,Low complementarity,LE-LC
"Concrete, clay and stone forming operators",94103,5.47000435,4.602707161,0.506898148,Low exposure,Low complementarity,LE-LC
"Inspectors and testers, mineral and metal processing",94104,5.880311896,4.470670461,0.588055556,Low exposure,Low complementarity,LE-LC
Metalworking and forging machine operators,94105,5.612922794,4.676014306,0.51525,Low exposure,Low complementarity,LE-LC
Machining tool operators,94106,5.623666133,4.732065901,0.506805556,Low exposure,Low complementarity,LE-LC
Machine operators of other metal products,94107,5.44345163,4.254964691,0.566666667,Low exposure,Low complementarity,LE-LC
Chemical plant machine operators,94110,5.832945741,4.21653676,0.625416667,Low exposure,High complementarity,LE-HC
Plastics processing machine operators,94111,5.589672976,4.651471845,0.516132479,Low exposure,Low complementarity,LE-LC
Rubber processing machine operators and related workers,94112,5.45986093,4.658006499,0.494944444,Low exposure,Low complementarity,LE-LC
Sawmill machine operators,94120,5.50943605,4.485599184,0.534166667,Low exposure,Low complementarity,LE-LC
"Pulp mill, papermaking and finishing machine operators",94121,5.62620502,4.543632081,0.540694444,Low exposure,Low complementarity,LE-LC
Paper converting machine operators,94122,5.640599903,4.434138257,0.562222222,Low exposure,Low complementarity,LE-LC
Lumber graders and other wood processing inspectors and graders,94123,5.819645544,4.316237112,0.606666667,Low exposure,Low complementarity,LE-LC
Woodworking machine operators,94124,5.567488048,4.424342645,0.552916667,Low exposure,Low complementarity,LE-LC
Other wood processing machine operators,94129,5.517250517,4.502704645,0.532222222,Low exposure,Low complementarity,LE-LC
"Textile fibre and yarn, hide and pelt processing machine operators and workers",94130,5.375828808,4.850411397,0.445740741,Low exposure,Low complementarity,LE-LC
"Weavers, knitters and other fabric making occupations",94131,5.51087226,4.638317485,0.506666667,Low exposure,Low complementarity,LE-LC
Industrial sewing machine operators,94132,5.585216871,5.241791572,0.409861111,Low exposure,Low complementarity,LE-LC
"Inspectors and graders, textile, fabric, fur and leather products manufacturing",94133,5.880311896,4.470670461,0.588055556,Low exposure,Low complementarity,LE-LC
"Process control and machine operators, food and beverage processing",94140,5.713786239,4.680125167,0.529097222,Low exposure,Low complementarity,LE-LC
"Industrial butchers and meat cutters, poultry preparers and related workers",94141,5.446901448,4.448294631,0.531851852,Low exposure,Low complementarity,LE-LC
Fish and seafood plant workers,94142,5.640263083,4.570805513,0.537430556,Low exposure,Low complementarity,LE-LC
"Testers and graders, food and beverage processing",94143,5.880311896,4.470670461,0.588055556,Low exposure,Low complementarity,LE-LC
Plateless printing equipment operators,94150,5.801475923,5.30835047,0.433333333,Low exposure,Low complementarity,LE-LC
"Camera, platemaking and other prepress occupations",94151,6.219747864,5.373171071,0.484444444,High exposure,Low complementarity,HE-LC
Binding and finishing machine operators,94152,5.626101515,4.79312593,0.496388889,Low exposure,Low complementarity,LE-LC
Photographic and film processors,94153,5.871594866,4.901150714,0.513611111,Low exposure,Low complementarity,LE-LC
"Motor vehicle assemblers, inspectors and testers",94200,5.741951813,4.407505302,0.580555556,Low exposure,Low complementarity,LE-LC
"Electronics assemblers, fabricators, inspectors and testers",94201,5.793522343,4.669792407,0.541944444,Low exposure,Low complementarity,LE-LC
"Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing",94202,5.816611357,4.561269035,0.563888889,Low exposure,Low complementarity,LE-LC
"Assemblers, fabricators and inspectors, industrial electrical motors and transformers",94203,5.845268917,4.678051052,0.547777778,Low exposure,Low complementarity,LE-LC
Mechanical assemblers and inspectors,94204,5.741951813,4.407505302,0.580555556,Low exposure,Low complementarity,LE-LC
"Machine operators and inspectors, electrical apparatus manufacturing",94205,5.880311896,4.470670461,0.588055556,Low exposure,Low complementarity,LE-LC
"Furniture and fixture assemblers, finishers, refinishers and inspectors",94210,5.75177402,4.512857268,0.562592593,Low exposure,Low complementarity,LE-LC
"Plastic products assemblers, finishers and inspectors",94212,5.880311896,4.470670461,0.588055556,Low exposure,Low complementarity,LE-LC
"Industrial painters, coaters and metal finishing process operators",94213,5.506692956,4.405354365,0.548333333,Low exposure,Low complementarity,LE-LC
"Other products assemblers, finishers and inspectors",94219,5.76195143,4.465458589,0.575,Low exposure,Low complementarity,LE-LC
Labourers in mineral and metal processing,95100,5.39842728,4.543676294,0.506666667,Low exposure,Low complementarity,LE-LC
Labourers in metal fabrication,95101,5.39842728,4.543676294,0.506666667,Low exposure,Low complementarity,LE-LC
Labourers in chemical products processing and utilities,95102,5.688106254,4.325583271,0.585833333,Low exposure,Low complementarity,LE-LC
"Labourers in wood, pulp and paper processing",95103,5.39842728,4.543676294,0.506666667,Low exposure,Low complementarity,LE-LC
Labourers in rubber and plastic products manufacturing,95104,5.39842728,4.543676294,0.506666667,Low exposure,Low complementarity,LE-LC
Labourers in textile processing and cutting,95105,5.425241629,4.927062867,0.440069444,Low exposure,Low complementarity,LE-LC
Labourers in food and beverage processing,95106,5.39842728,4.543676294,0.506666667,Low exposure,Low complementarity,LE-LC
Labourers in fish and seafood processing,95107,5.39842728,4.543676294,0.506666667,Low exposure,Low complementarity,LE-LC
"Other labourers in processing, manufacturing and utilities",95109,5.658769882,4.524399859,0.547383041,Low exposure,Low complementarity,LE-LC
